index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD,N0
166,1312,216,2001,40,-45,45,-35,1,2.34371394171916,0.340329819327175,13.6677275959154,15.5072484375
167,1320,224,2001,40,-45,45,-35,1,2.36539767287407,0.339129790137442,13.5901318761707,15.5072484375
168,1328,232,2001,40,-45,45,-35,1,2.31912327518032,0.578104889697849,15.0362486764955,15.5072484375
169,1336,240,2001,40,-45,45,-35,1,1.99908122344075,0.487453372446144,17.3965929863768,15.5072484375
170,1344,248,2001,40,-45,45,-35,1,2.20366638403043,0.428370028284699,19.7569373151744,15.5072484375
171,1352,256,2001,40,-45,45,-35,1,2.28754355281711,0.497290857725537,22.1172816294598,15.5072484375
172,1360,264,2001,40,-45,45,-35,1,2.19942023113358,0.517680887919404,26.2191886420548,15.5072484375
173,1368,272,2001,40,-45,45,-35,1,2.19339075233373,0.672167844392789,30.9016165748405,15.5072484375
174,1376,280,2001,40,-45,45,-35,1,2.29808968517781,0.454870768184675,35.5840444776747,15.5072484375
175,1384,288,2001,40,-45,45,-35,1,2.13503210428183,0.64901693891395,40.2664723912048,15.5072484375
176,1392,296,2001,40,-45,45,-35,1,1.94304064059968,0.817705458095003,45.7172842046289,15.5072484375
177,1400,304,2001,40,-45,45,-35,1,1.93746953809235,0.686008145646162,51.1680959948898,15.5072484375
178,1408,312,2001,40,-45,45,-35,1,2.3253781903518,0.542899398306258,56.6189077928995,15.5072484375
179,1416,320,2001,40,-45,45,-35,1,1.745407173519,0.825868785683504,62.4073797006079,15.5072484375
180,1424,328,2001,40,-45,45,-35,1,1.86669812313288,0.648343134994278,70.5594720030163,15.5072484375
181,1432,336,2001,40,-45,45,-35,1,2.35981954047351,0.78977888320129,78.7115642473433,15.5072484375
182,1440,344,2001,40,-45,45,-35,1,2.07509836321911,1.04423818942622,86.863656498757,15.5072484375
183,1448,352,2001,40,-45,45,-35,1,1.4164418586839,1.23338630889449,103.76484606829,15.5072484375
184,1456,360,2001,40,-45,45,-35,1,1.95464285151654,0.980744604323995,135.247864244647,15.5072484375
185,1462,1,2002,40,-45,45,-35,1,2.11355562793711,0.957411904938691,113.131597731114,15.5072484375
186,1469,8,2002,40,-45,45,-35,1,2.11355562793711,0.957411904938691,113.131597731114,15.5072484375
