tc,days,years,latmin,lonmin,latmax,lonmax,stDevPC
176,297,2001,45,-45,50,-35,8.54584703897417
177,305,2001,45,-45,50,-35,6.8042171797508
178,313,2001,45,-45,50,-35,10.9207350500818
179,321,2001,45,-45,50,-35,15.691176252751
180,329,2001,45,-45,50,-35,6.65780589263944
181,337,2001,45,-45,50,-35,6.22404677389227
182,345,2001,45,-45,50,-35,6.40451841523864
183,353,2001,45,-45,50,-35,5.8636293519832
184,361,2001,45,-45,50,-35,4.97115282992053
185,1,2002,45,-45,50,-35,7.27047522172812
186,9,2002,45,-45,50,-35,7.82223608546919
187,17,2002,45,-45,50,-35,13.1501983268143
188,25,2002,45,-45,50,-35,24.3595702189117
189,33,2002,45,-45,50,-35,12.1303757437696
190,41,2002,45,-45,50,-35,10.9421093587887
191,49,2002,45,-45,50,-35,6.82808055395945
192,57,2002,45,-45,50,-35,8.34808767012463
193,65,2002,45,-45,50,-35,9.10259686974493
194,73,2002,45,-45,50,-35,7.75934496813376
195,81,2002,45,-45,50,-35,8.39045318963509
196,89,2002,45,-45,50,-35,7.51663142570651
197,97,2002,45,-45,50,-35,9.54668205272722
198,105,2002,45,-45,50,-35,10.9150782182762
199,113,2002,45,-45,50,-35,9.45945238098733
200,121,2002,45,-45,50,-35,17.4418850403619
201,129,2002,45,-45,50,-35,11.907482633946
202,137,2002,45,-45,50,-35,10.8326848693358
203,145,2002,45,-45,50,-35,12.3079008433072
204,153,2002,45,-45,50,-35,10.5402931560226
205,161,2002,45,-45,50,-35,9.66992697744996
206,169,2002,45,-45,50,-35,12.3837005495576
207,177,2002,45,-45,50,-35,14.6384493841331
208,185,2002,45,-45,50,-35,12.1364486512191
209,193,2002,45,-45,50,-35,11.1434830598501
210,201,2002,45,-45,50,-35,7.30417428970594
211,209,2002,45,-45,50,-35,8.24108850887556
212,217,2002,45,-45,50,-35,7.90483022783803
213,225,2002,45,-45,50,-35,11.7093634463304
214,233,2002,45,-45,50,-35,8.16706863030471
215,241,2002,45,-45,50,-35,8.92345948881192
216,249,2002,45,-45,50,-35,13.6487717916515
217,257,2002,45,-45,50,-35,18.1477134755167
218,265,2002,45,-45,50,-35,15.1067158567034
219,273,2002,45,-45,50,-35,9.40556908442345
220,281,2002,45,-45,50,-35,8.3968875346453
221,289,2002,45,-45,50,-35,19.0634148767483
222,297,2002,45,-45,50,-35,8.38956321907052
223,305,2002,45,-45,50,-35,7.75965550612149
224,313,2002,45,-45,50,-35,12.529183031945
225,321,2002,45,-45,50,-35,6.36128151876701
226,329,2002,45,-45,50,-35,7.64192229109878
227,337,2002,45,-45,50,-35,7.66064968364242
228,345,2002,45,-45,50,-35,8.37958795912334
229,353,2002,45,-45,50,-35,7.64022134232682
230,361,2002,45,-45,50,-35,8.03437577045076
1,1,1998,50,-45,55,-35,6.26488474751105
2,9,1998,50,-45,55,-35,6.3012508863543
3,17,1998,50,-45,55,-35,5.86553695076078
4,25,1998,50,-45,55,-35,5.97384081001432
5,33,1998,50,-45,55,-35,6.05568336601024
6,41,1998,50,-45,55,-35,6.00062067731824
7,49,1998,50,-45,55,-35,6.510696740523
8,57,1998,50,-45,55,-35,6.75708583936283
9,65,1998,50,-45,55,-35,7.19418371231421
10,73,1998,50,-45,55,-35,6.46613998354831
11,81,1998,50,-45,55,-35,5.88495131445273
12,89,1998,50,-45,55,-35,7.54982486031375
13,97,1998,50,-45,55,-35,9.46801352663681
14,105,1998,50,-45,55,-35,9.37894291729855
15,113,1998,50,-45,55,-35,10.424582426062
