index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD,N0,light,pgrPhytC,sdpgrPhytC,Zeu,sdZeu
76,597,232,1999,40,-45,45,-35,1,2.42690245843142,0.350377121497266,19.3883301699493,15.5072484375,119.618447138852,-0.0106289849972285,0.0652297827883747,77.7507890338378,7.40865580952541
77,605,240,1999,40,-45,45,-35,1,2.34187057845359,0.453930914808719,23.0185648392803,15.5072484375,99.2897603424622,-0.0142205551344888,0.0746159404760553,79.8960014898917,7.88624836232141
78,613,248,1999,40,-45,45,-35,1,2.22810613737768,0.456019762270582,26.6487994902995,15.5072484375,102.621087257324,-0.00455937487786531,0.0708666478059778,79.0562793637324,8.22224261114637
79,621,256,1999,40,-45,45,-35,1,2.19163113835476,0.384214754186887,30.2790341642002,15.5072484375,91.6881401435717,0.00916097207931257,0.0881835357756275,80.2507535766901,7.61882460571215
80,629,264,1999,40,-45,45,-35,1,2.26491891498926,0.625419121348665,33.5952813266052,15.5072484375,108.917784144162,-0.0210551113770891,0.0873426284761809,78.8951724044495,9.06070673472116
81,637,272,1999,40,-45,45,-35,1,2.09647802397255,0.390781231954729,36.8068660232094,15.5072484375,98.7414983895295,-0.00515976129873869,0.070327878963965,78.1134981854105,7.71798297812411
82,645,280,1999,40,-45,45,-35,1,2.05519993358264,0.47278506028613,40.0184507009719,15.5072484375,61.5180512428707,0.0427506265231461,0.092213282030582,77.6531064211006,7.42773266467008
83,653,288,1999,40,-45,45,-35,1,2.3972049457678,0.589301249917759,43.2300353562833,15.5072484375,67.2979103263137,0.0267095734196652,0.104002150654367,71.6998630876021,7.77694818258321
84,661,296,1999,40,-45,45,-35,1,2.61088153312511,0.669979621214503,49.8502406507731,15.5072484375,63.856318664317,-0.0704475165824042,0.118937063083057,64.5560114366486,6.78124416976499
85,669,304,1999,40,-45,45,-35,1,2.04730140046589,0.740797516810467,56.4704458304909,15.5072484375,46.5349493522065,-0.0673672683872541,0.137399917282245,63.0273490702783,6.59644511503604
86,677,312,1999,40,-45,45,-35,1,1.50836325336787,0.85586090997934,63.0906511181264,15.5072484375,33.5031177427678,0.0433948616771988,0.139201990769668,61.6756490159373,5.6654293113727
87,685,320,1999,40,-45,45,-35,1,1.85552214678546,0.759477079275673,69.1657088858223,15.5072484375,56.0404501239823,0.010063779968933,0.125363290947373,59.3231476826476,5.9539276599169
88,693,328,1999,40,-45,45,-35,1,1.93603238653692,0.801503945018055,71.4247338760895,15.5072484375,41.6414079570738,-0.00888234209668557,0.121098357888706,60.1793479533004,5.44760727768608
89,701,336,1999,40,-45,45,-35,1,1.86497364976343,0.697550802868631,73.6837588489389,15.5072484375,34.5325032883585,-0.017517919998642,0.125912664491262,60.7566295477425,5.07053728338936
90,709,344,1999,40,-45,45,-35,1,1.72483028977429,0.843600889529712,75.9427837764393,15.5072484375,37.0873392079845,-0.0691283971421918,0.174115867545141,59.877038116224,5.32640838230954
91,717,352,1999,40,-45,45,-35,1,1.17180311263677,1.25683591160949,84.8312196868662,15.5072484375,34.1140578929493,0.0489675515982199,0.164061752205783,60.988572701084,5.04888995071892
92,725,360,1999,40,-45,45,-35,1,1.56354352542253,0.94248229478506,104.768674010039,15.5072484375,24.5371959020193,0.00198626880954876,0.129419885455843,61.8614454662807,4.86142450764032
93,732,1,2000,40,-45,45,-35,1,2.08625457031345,0.837423858878136,103.783526346353,15.5072484375,24.620194286621,-0.0495730678026515,0.136800453341185,60.2928391295348,5.08272451264132
94,739,8,2000,40,-45,45,-35,1,2.08625457031345,0.837423858878136,103.783526346353,15.5072484375,42.8293973038628,-0.0495730678026515,0.136800453341185,60.2928391295348,5.08272451264132
95,747,16,2000,40,-45,45,-35,1,1.68967002789225,0.814371663416379,101.785297538009,15.5072484375,54.0396984175575,-0.0374277425250558,0.150806440677982,59.3121749258049,4.71381562385887
96,755,24,2000,40,-45,45,-35,1,1.39024808769181,1.0292961655444,115.42944281535,15.5072484375,38.2845942680779,0.0410741325336312,0.178898548166381,58.397989309762,4.69383986913276
97,763,32,2000,40,-45,45,-35,1,1.71884114796085,1.10660937408813,129.073587998252,15.5072484375,53.2106679992959,0.0780269674567786,0.149859827915032,60.682169310948,5.27363261000611
98,771,40,2000,40,-45,45,-35,1,2.34305688761507,0.857471923405654,142.717733135621,15.5072484375,51.7126523974007,-0.037159740781775,0.121725897595381,58.0853321150614,5.02487543712222
99,779,48,2000,40,-45,45,-35,1,2.04577896136088,0.75559335542816,156.550877950457,15.5072484375,66.8570724505174,0.0486103764270049,0.123007507900308,58.1247564031026,4.86208430555396
