index,t,days,siteID,lpC,sdlpC,mld,dmld,N0,light,rPC,sdrPC,zeu,sdzeu,pgr,latitude,lpC_median,lpC_lb95,lpC_ub95,lpC_lb68,lpC_ub68
131,1035,304,6,2.06807257406908,1.03378265348492,51.3232328979175,0.669173237999425,18.1777503125,30.0860552551423,0.0325723495030695,0.13610228183005,53.6086532752388,5.0927499546897,0.00226685536744501,52.5,2.06807257406908,0.041858573238637,4.09428657489952,1.03428992058416,3.101855227554
132,1043,312,6,2.26915145767261,0.885711158136807,55.8802762947481,0.813706714004558,18.1777503125,23.0498791207558,-0.0900657233499909,0.154843008209939,55.0260798028498,4.11068648160854,-0.0132454951318216,52.5,2.26915145767261,0.533157587724468,4.00514532762075,1.3834402995358,3.15486261580942
133,1051,320,6,1.81299401420394,1.25550542871001,63.1141490115062,0.591070305073154,18.1777503125,15.9146242790926,-0.000834668955355027,0.0274959674216179,56.9964242693719,5.72796875459699,NaN,52.5,1.81299401420394,-0.64779662606768,4.27378465447556,0.55748858549393,3.06849944291395
134,1059,328,6,1.63452973390869,0.229135485045939,70.8521940340269,0.618397305783021,18.1777503125,29.8779620534486,NaN,0.141265845103772,61.4655402104057,0.90573557627564,NaN,52.5,1.63452973390869,1.18542418321865,2.08363528459873,1.40539424886275,1.86366521895463
135,1067,336,6,NaN,1.2339260742071,70.0659636165038,0.408016828546929,18.1777503125,14.0091583034767,NaN,0.131187039843336,NaN,4.31140371369183,NaN,52.5,NaN,NaN,NaN,NaN,NaN
136,1075,344,6,NaN,1.04654441496338,77.9556843502987,1.11446007061198,18.1777503125,19.4370493945524,NaN,0.178728823626724,NaN,4.09418973329454,NaN,52.5,NaN,NaN,NaN,NaN,NaN
137,1083,352,6,NaN,1.15201140724667,80.6445979191532,2.55119151046801,18.1777503125,10.7009042773217,NaN,0.194384454445329,NaN,4.22547840445677,NaN,52.5,NaN,NaN,NaN,NaN,NaN
138,1091,360,6,NaN,1.24831685213913,96.8130053111913,2.43915344509907,18.1777503125,14.5675874839745,NaN,0.162730390117749,NaN,4.53734573379218,NaN,52.5,NaN,NaN,NaN,NaN,NaN
139,1097,1,6,NaN,1.1789936469668,128.591461778946,2.86271252404027,18.1777503125,18.7262380084092,NaN,0.112629682631177,NaN,7.14657310042293,NaN,52.5,NaN,NaN,NaN,NaN,NaN
140,1104,8,6,NaN,1.1789936469668,128.591461778946,1.15037067170083,18.1777503125,17.6461115133786,NaN,0.112629682631177,NaN,7.14657310042293,NaN,52.5,NaN,NaN,NaN,NaN,NaN
