tc,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P11_Zdyn,P12_Nullcline,P13_ConstHighN,P14_MLDOnlyNUnlim
693,7.59361313367888,18.2714538506278,18.2714538506278,180.977914194757,5.01124838065323,5.01124838065323,250.350580888434,250.350580888434,23.0192188668286,23.0192188668286,21.3769644001877,59.8343514140538,32.786719662692,7.70993427761904,318.34186081216
701,6.40481429522314,17.9670648256062,17.9670648256062,151.593715808063,3.75456659689034,3.75456659689034,216.79475453027,216.79475453027,16.5945755928229,16.5945755928229,21.3769644001877,43.1163506704568,29.7960554994801,6.52541452588843,266.6547782501
709,5.37591117198719,17.9641381290924,17.9641381290924,136.841171461171,2.60483913764765,2.60483913764765,200.287819819809,200.287819819809,11.2316759348702,11.2316759348702,21.3769644001877,33.3179412435321,25.5328656896829,5.49689073716418,240.704913372944
717,4.45420418590825,17.1015973368435,17.1015973368435,118.97996707927,1.89326019991859,1.89326019991859,174.145236803248,174.145236803248,7.94914892681497,7.94914892681497,21.3769644001877,24.6898116564713,31.7535435195034,4.58283483615199,209.286886125918
725,3.72524753266609,17.6973717385748,17.6973717385748,99.3303477720481,1.42061006271658,1.42061006271658,152.291691149928,152.291691149928,5.82087241377683,5.82087241377683,21.3769644001877,17.4978418439236,30.7463455378537,3.86947852476681,174.723020129652
732,3.18916560952794,16.8294490174129,16.8294490174129,87.0574924075645,1.12339473745711,1.12339473745711,134.541992884748,134.541992884748,4.51760500351061,4.51760500351061,21.3769644001877,13.2746945806156,29.2180952556428,3.31838941459844,153.134951598793
739,2.87959171043627,16.3961789257594,16.3961789257594,80.4243045585159,0.941115737766685,0.941115737766685,124.290809583811,124.290809583811,3.71675777205805,3.71675777205805,21.3769644001877,10.6160694166895,24.7219729422481,2.99042001491526,141.467111506933
747,2.6254566950805,16.5019089941818,16.5019089941818,74.7362942262894,0.802159624524781,0.802159624524781,115.500339924242,115.500339924242,3.10662507535197,3.10662507535197,21.3769644001877,8.36417146179205,26.5777297519003,2.72142003789553,131.461847596492
755,2.35980749153171,16.0916866533123,16.0916866533123,68.0849043728573,0.72733967016964,0.72733967016964,105.221026546542,105.221026546542,2.76405129793054,2.76405129793054,21.3769644001877,6.45426706000248,27.0855257091151,2.44270287698157,119.761990006963
763,2.16404697402433,15.692708216464,15.692708216464,63.0260286093042,0.704731172111181,0.704731172111181,97.4028456161932,97.4028456161932,2.62637260024319,2.62637260024319,21.3769644001877,5.06029648721378,25.1939900458987,2.23794431923382,110.863379746409
