index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD
210,1661,200,2002,45,-35,50,-25,5,3.19434983110093,0.429536167688018,14.758026863974
211,1669,208,2002,45,-35,50,-25,5,3.20730553162523,0.383442064647722,14.686278678245
212,1677,216,2002,45,-35,50,-25,5,3.05842544459686,0.487237435487688,14.6145304801564
213,1685,224,2002,45,-35,50,-25,5,2.91175686377377,0.483838803186594,14.5427822963066
214,1693,232,2002,45,-35,50,-25,5,2.84920154363469,0.650725956198758,16.1231227970372
215,1701,240,2002,45,-35,50,-25,5,2.66116630638926,0.567079401755939,18.6947165365766
216,1709,248,2002,45,-35,50,-25,5,2.52319862601753,0.484252007934378,21.2663103102396
217,1717,256,2002,45,-35,50,-25,5,2.67273945518954,0.49534313923453,23.8379040376843
218,1725,264,2002,45,-35,50,-25,5,2.55911111196784,0.560328239393875,28.4673892066877
219,1733,272,2002,45,-35,50,-25,5,2.67241093605124,0.503993237785003,33.7828381880787
220,1741,280,2002,45,-35,50,-25,5,2.73178302430634,0.498434464588663,39.0982871013882
221,1749,288,2002,45,-35,50,-25,5,2.36822842532861,0.762600597757229,44.4137361282112
222,1757,296,2002,45,-35,50,-25,5,2.17873459713111,0.676344617007132,59.0329766621856
223,1765,304,2002,45,-35,50,-25,5,2.3653565600087,0.722460289075726,73.6522172518244
224,1773,312,2002,45,-35,50,-25,5,2.41679417924807,0.943884371369827,88.2714577454992
225,1781,320,2002,45,-35,50,-25,5,2.71039871067408,0.541034357434346,103.961948104435
226,1789,328,2002,45,-35,50,-25,5,2.53797105309272,0.7952725767183,127.151187038422
227,1797,336,2002,45,-35,50,-25,5,2.02455209368174,1.12097777618267,150.34042588638
228,1805,344,2002,45,-35,50,-25,5,1.42286133885274,1.34658801449533,173.52966492898
229,1813,352,2002,45,-35,50,-25,5,2.07920867605078,0.868117617096933,185.974116258291
230,1821,360,2002,45,-35,50,-25,5,1.4706844409827,1.26543976492999,180.510588995086
1,1,1,1998,50,-35,55,-25,6,NaN,1.37453824459077,147.298867712882
2,8,8,1998,50,-35,55,-25,6,NaN,1.37453824459077,147.298867712882
3,16,16,1998,50,-35,55,-25,6,NaN,1.42133198827985,169.269995971389
4,24,24,1998,50,-35,55,-25,6,0.571356357452439,1.54553260737451,173.147299171024
5,32,32,1998,50,-35,55,-25,6,0.410462600346594,1.61567836671412,177.024602095154
6,40,40,1998,50,-35,55,-25,6,1.80055074132579,1.37641527434435,180.901905070544
7,48,48,1998,50,-35,55,-25,6,0.584028401705058,1.45577920611438,183.83526458131
8,56,56,1998,50,-35,55,-25,6,1.89920621561918,1.03978823811865,183.936793453296
9,64,64,1998,50,-35,55,-25,6,1.97061898539389,1.14063623046723,184.038322076467
10,72,72,1998,50,-35,55,-25,6,2.2622573128235,1.045533444834,184.139850717783
11,80,80,1998,50,-35,55,-25,6,2.00535448134082,0.988377313829195,166.812567403582
12,88,88,1998,50,-35,55,-25,6,1.92957796040575,0.770264952850234,143.675679954953
13,96,96,1998,50,-35,55,-25,6,2.00629133803601,0.845707674288987,120.538792318901
14,104,104,1998,50,-35,55,-25,6,2.58522468420568,0.929383861848935,97.401904922989
15,112,112,1998,50,-35,55,-25,6,2.97026514099069,0.55241556278439,79.1094321161511
