tc,day,year,light,mld,dmld,N0,ps2,lsdps2,t
1680,221,2002,114.590042687026,14.5427822963066,0.197542562591322,16.5627625,22.85049,0.545735461853559,1671.996015
1688,229,2002,92.5669853851013,16.1231227970372,0.321449217442427,16.5627625,19.654635,0.553555110976169,1680.015795
1696,237,2002,95.4760582528345,18.6947165365766,0.321449221707878,16.5627625,21.43999,0.53401044400701,1687.99141
1704,245,2002,103.299840166246,21.2663103102396,0.321449215930579,16.5627625,15.13239,0.52099967712442,1696.01119
1712,253,2002,84.521097421609,23.8379040376843,0.578685646125425,16.5627625,15.46064,0.474185944370639,1703.986805
1720,261,2002,65.9952579659773,28.4673892066877,0.664431122673886,16.5627625,16.64026,0.453182148545395,1712.00695
1728,269,2002,68.2803797800589,33.7828381880787,0.664431114163676,16.5627625,17.72992,0.430394083306728,1719.9822
1736,277,2002,55.5641093257198,39.0982871013882,0.664431128352875,16.5627625,18.06259,0.43996284144382,1728.002345
1744,285,2002,63.7124106422321,44.4137361282112,1.8274050667468,16.5627625,17.66674,0.410858689065354,1735.97796
1752,293,2002,57.9062926664338,59.0329766621856,1.82740507370485,16.5627625,14.61239,0.616335983818863,1743.99774
1760,301,2002,48.7857690528215,73.6522172518244,1.82740506170935,16.5627625,12.060165,0.544078620239032,1752.017885
1768,309,2002,50.125889879412,88.2714577454992,1.96131129486694,16.5627625,12.31048,0.721726819408127,1759.993135
1776,317,2002,34.1863569279249,103.961948104435,2.89865486674839,16.5627625,11.29284,0.562672924259195,1768.01328
1784,325,2002,22.1742366150465,127.151187038422,2.89865485599477,16.5627625,11.074505,0.708709931302906,1775.988895
1792,333,2002,21.5463561494438,150.34042588638,2.89865488032498,16.5627625,9.139975,1.06438185696211,1784.008675
1800,341,2002,33.7975795459439,173.52966492898,1.55555641616387,16.5627625,5.469971,0.957517670186756,1791.98429
1808,349,2002,25.1050443072441,185.974116258291,-0.682940907900537,16.5627625,6.34853,0.89349391588021,1800.004435
1816,357,2002,29.7739288744454,180.510588995086,-0.68294095618856,16.5627625,7.174804,0.744060802268991,1807.979685
1824,365,2002,28.1057076044847,175.047061345578,8.86755530051052,16.5627625,7.554879,0.592914875865058,1815.99983
1832,8,2003,32.6672970501192,245.987503749662,4.88236698061241,16.5627625,7.465705,1.09346279431946,1822.014665
1840,16,2003,23.1128583504716,285.046439594561,1.91884297053027,16.5627625,6.657781,0.917617132233072,1829.00989
1848,24,2003,28.4254482372349,300.397183358804,1.91884284132048,16.5627625,5.505149,0.956413236082625,1836.985505
1856,32,2003,33.1207285876861,315.747926089367,1.91884295127471,16.5627625,3.2994,0.965207146770873,1845.00565
1864,40,2003,48.456877288498,331.098669699565,1.40667258731182,16.5627625,6.579781,1.14006320646693,1852.9809
1872,48,2003,40.7005722283387,342.35205039806,-0.129838509360916,16.5627625,6.692283,0.700708684739616,1861.001045
1880,56,2003,44.6873266983439,341.313342323172,-0.129838490916626,16.5627625,8.343894,0.606498285542844,1869.020825
1888,64,2003,75.2711014560492,340.274634395839,-0.129838518351342,16.5627625,11.03622,0.810384738309456,1876.99644
1896,72,2003,55.6947097552503,339.235926249029,-4.71840255838311,16.5627625,11.7585,0.609308078942235,1885.016585
1904,80,2003,80.5998442331225,301.488705781964,-6.2479239290953,16.5627625,10.200645,0.636693470649213,1892.991835
1912,88,2003,98.7969740051322,251.505314349201,-6.24792394472496,16.5627625,9.03214,0.733141894073857,1901.01198
1920,96,2003,79.8127577400169,201.521922791402,-6.24792395666238,16.5627625,11.04428,0.489390146340948,1908.987595
1928,104,2003,116.903908380984,151.538531138103,-3.31706944525243,16.5627625,14.08732,0.517595872950697,1917.007375
1936,112,2003,103.807604301346,125.001975576083,-2.89837592506993,16.5627625,14.2168,0.596901710643674,1924.98299
1944,120,2003,122.656632735323,101.814968175524,-2.89837595755852,16.5627625,14.8486,0.485941152179231,1933.00277
1952,128,2003,126.202804792947,78.6279605150555,-2.67144877402318,16.5627625,20.6154,0.553282876226013,1940.978385
1960,136,2003,109.150811411414,57.2563703228701,-1.0829586796235,16.5627625,19.1802,0.396225159042159,1948.99853
1968,144,2003,134.576146048006,48.5927008858821,-1.08295866053553,16.5627625,27.32418,0.338235395109239,1957.01831
1976,152,2003,133.879792722906,39.9290316015979,-1.08295866336466,16.5627625,28.8015,0.40970364453103,1964.993925
1984,160,2003,133.299913417645,31.2653622946806,-0.881583603885434,16.5627625,37.4166,0.287899018114909,1973.01407
1992,168,2003,128.712975260492,24.2126934635971,-0.27745838858808,16.5627625,38.174825,0.325732591399859,1980.98932
2000,176,2003,119.281117508872,21.9930263548924,-0.277458391097476,16.5627625,32.68681,0.495935864371375,1989.009465
2008,184,2003,119.546407829684,19.7733592261126,-0.277458389437657,16.5627625,30.41272,0.481050877674824,1996.984715
2016,192,2003,95.220995553136,17.5536921106114,-0.127871499882184,16.5627625,34.71715,0.430498706574734,2005.00486
2024,200,2003,134.214677274545,16.5307201115539,0.0217153862418829,16.5627625,35.77652,0.448473511416055,2012.980475
2032,208,2003,97.2695218863157,16.704443201489,0.0217153920698947,16.5627625,27.3455,0.445961538848326,2021.000255
2040,216,2003,116.043713595552,16.8781663380481,0.0217153870024593,16.5627625,26.55926,0.425070654153055,2029.0204
2048,224,2003,118.224533890563,17.0518894340678,0.250183437404533,16.5627625,28.45401,0.462335692625505,2036.996015
2056,232,2003,94.4819577269031,19.0533569333041,0.387264267223787,16.5627625,19.20828,0.404706084651531,2045.015795
2064,240,2003,90.0836684413189,22.1514710710944,0.387264261986645,16.5627625,15.90901,0.458387439577679,2052.99141
2072,248,2003,75.957545246167,25.2495851669875,0.387264262847587,16.5627625,15.37484,0.590334684118694,2061.01119
2080,256,2003,79.7664650449431,28.3476992697682,0.506946178662298,16.5627625,13.19188,0.454209636442374,2068.986805
2088,264,2003,74.8235146574676,32.4032686990666,0.546840152051297,16.5627625,15.28397,0.475196230800419,2077.00695
2096,272,2003,75.9824269329576,36.777989915477,0.546840149433265,16.5627625,19.46204,0.436214297423076,2084.9822
