tc,days,years,latmin,lonmin,latmax,lonmax,PhytC,stDevPhytC
213,225,2002,40,-25,45,-15,11.2109865208467,5.14444268378807
214,233,2002,40,-25,45,-15,10.9278009787492,6.81411602840768
215,241,2002,40,-25,45,-15,11.4066951797779,4.82053961567677
216,249,2002,40,-25,45,-15,10.3807836571791,5.07986884060191
217,257,2002,40,-25,45,-15,13.8211843439047,5.84163766594594
218,265,2002,40,-25,45,-15,11.0379978324142,7.92868587409608
219,273,2002,40,-25,45,-15,8.48863334999319,4.64565380370282
220,281,2002,40,-25,45,-15,11.8071575664517,9.45988019041793
221,289,2002,40,-25,45,-15,9.92084443118841,6.49708012686142
222,297,2002,40,-25,45,-15,7.76698039563376,8.51098613904591
223,305,2002,40,-25,45,-15,9.73551357778163,6.46640552596833
224,313,2002,40,-25,45,-15,16.0627865188734,6.44142559799621
225,321,2002,40,-25,45,-15,13.68094996322,19.826966188875
226,329,2002,40,-25,45,-15,10.0447053735362,9.44788170118345
227,337,2002,40,-25,45,-15,8.49356472854815,7.92360840945998
228,345,2002,40,-25,45,-15,7.04761503153665,6.23604431394063
229,353,2002,40,-25,45,-15,10.7168241551146,5.49629492042815
230,361,2002,40,-25,45,-15,9.20891340634945,6.04139213743705
1,1,1998,45,-25,50,-15,13.4153712270865,6.50245295747323
2,9,1998,45,-25,50,-15,8.65702267884274,13.0544969534956
3,17,1998,45,-25,50,-15,9.67014035772949,12.7141693116187
4,25,1998,45,-25,50,-15,6.25709911400071,15.4489496559536
5,33,1998,45,-25,50,-15,10.3209205888895,12.2470253098081
6,41,1998,45,-25,50,-15,5.84541424315218,9.48033874596156
7,49,1998,45,-25,50,-15,11.4232114621811,8.66186817295344
8,57,1998,45,-25,50,-15,10.394793760937,10.688816105696
9,65,1998,45,-25,50,-15,11.084230384151,11.3931539202597
10,73,1998,45,-25,50,-15,16.9353370391702,12.0854390957789
11,81,1998,45,-25,50,-15,14.2049551015678,9.15617808563404
12,89,1998,45,-25,50,-15,18.0920037107433,11.3964968097388
13,97,1998,45,-25,50,-15,17.612626086755,11.2450920825507
14,105,1998,45,-25,50,-15,14.4226938197162,9.75056644097672
15,113,1998,45,-25,50,-15,15.7123769548991,11.1514708025807
16,121,1998,45,-25,50,-15,17.9339471035575,15.0433108954598
17,129,1998,45,-25,50,-15,29.5660821654565,17.5688145236574
18,137,1998,45,-25,50,-15,71.6285410136813,36.4027024096
19,145,1998,45,-25,50,-15,63.6186933513234,25.9791878152315
20,153,1998,45,-25,50,-15,56.7354757591255,23.308005659965
21,161,1998,45,-25,50,-15,51.4003178606597,18.4314259212752
22,169,1998,45,-25,50,-15,49.8323930834069,16.5266266884262
23,177,1998,45,-25,50,-15,36.2160692616801,12.2872570403201
24,185,1998,45,-25,50,-15,33.4418428447511,13.2350479063409
25,193,1998,45,-25,50,-15,26.37150878316,11.4707046905721
26,201,1998,45,-25,50,-15,24.5712763842279,10.8999266764113
27,209,1998,45,-25,50,-15,20.5239759833449,9.18029243396882
28,217,1998,45,-25,50,-15,18.9999638775488,8.55810084116091
29,225,1998,45,-25,50,-15,16.985204750254,9.60044090580368
30,233,1998,45,-25,50,-15,12.7814291059806,7.06161515562306
31,241,1998,45,-25,50,-15,15.0130380223775,7.43745423599742
32,249,1998,45,-25,50,-15,17.2198902140724,7.76618588956678
33,257,1998,45,-25,50,-15,14.5360129823619,7.08602987813908
34,265,1998,45,-25,50,-15,17.391061668662,11.5983598028384
35,273,1998,45,-25,50,-15,14.7739702852402,7.87865859723562
36,281,1998,45,-25,50,-15,14.1116026932415,7.32986722029517
37,289,1998,45,-25,50,-15,17.043803359237,8.67181481319607
38,297,1998,45,-25,50,-15,13.7549616404457,8.50332436938858
39,305,1998,45,-25,50,-15,12.3897418346463,8.57507595759266
40,313,1998,45,-25,50,-15,11.2524012008889,8.24231857420017
41,321,1998,45,-25,50,-15,8.563475760799,8.96685642793584
42,329,1998,45,-25,50,-15,8.99111595178437,5.79482212296447
43,337,1998,45,-25,50,-15,11.0348040784503,6.4501488246549
44,345,1998,45,-25,50,-15,7.57016414954592,6.00583147897136
45,353,1998,45,-25,50,-15,11.5073252101773,7.41788690670256
46,361,1998,45,-25,50,-15,15.4641014214824,10.1627083766615
47,1,1999,45,-25,50,-15,10.5386266196947,7.90655498034463
48,9,1999,45,-25,50,-15,12.6423461303457,9.14017025393228
49,17,1999,45,-25,50,-15,8.47662816716574,16.4774523859303
50,25,1999,45,-25,50,-15,8.8889493897863,14.5614988751206
51,33,1999,45,-25,50,-15,6.93242863013323,11.8053715338203
52,41,1999,45,-25,50,-15,8.54407244489426,8.78462782062287
53,49,1999,45,-25,50,-15,10.0116781097847,10.4708384193464
54,57,1999,45,-25,50,-15,15.3828235926065,10.6306810907893
55,65,1999,45,-25,50,-15,13.5983149251094,12.5216429743177
56,73,1999,45,-25,50,-15,10.4653145768059,9.14611399890289
57,81,1999,45,-25,50,-15,13.2440783986532,10.3161585265706
58,89,1999,45,-25,50,-15,12.1079946380979,8.27304901072514
59,97,1999,45,-25,50,-15,21.7316125978665,14.6946321566897
60,105,1999,45,-25,50,-15,17.1617829839338,13.0973469455824
61,113,1999,45,-25,50,-15,17.7311105153379,10.3273274694183
62,121,1999,45,-25,50,-15,21.1988161310719,10.7912775632611
63,129,1999,45,-25,50,-15,30.2433484910595,11.5528789291591
64,137,1999,45,-25,50,-15,51.8364730054319,21.4540319976115
65,145,1999,45,-25,50,-15,37.8054972810051,17.790477886809
66,153,1999,45,-25,50,-15,37.5388096298113,14.8092795974343
67,161,1999,45,-25,50,-15,60.5883247374578,20.8531886608165
68,169,1999,45,-25,50,-15,51.1262819610205,18.8168924475281
69,177,1999,45,-25,50,-15,47.4066660067441,14.6187161898457
70,185,1999,45,-25,50,-15,35.6320475004615,11.1304897650685
71,193,1999,45,-25,50,-15,28.2617366438856,11.1186047496249
72,201,1999,45,-25,50,-15,22.6534668598076,8.2587371078811
73,209,1999,45,-25,50,-15,19.9108100024694,9.06892889782029
74,217,1999,45,-25,50,-15,18.6831493512873,7.98670292840831
75,225,1999,45,-25,50,-15,17.5614141745452,8.80111452677484
76,233,1999,45,-25,50,-15,17.9191374861698,7.52440458223651
77,241,1999,45,-25,50,-15,15.9474514067381,5.79405606793813
78,249,1999,45,-25,50,-15,18.3400479232851,8.80701921098271
79,257,1999,45,-25,50,-15,19.6288634609018,8.2718295482683
80,265,1999,45,-25,50,-15,21.9139812870655,10.0518691478863
81,273,1999,45,-25,50,-15,18.2009224289408,7.36512066747026
82,281,1999,45,-25,50,-15,18.1358011532203,7.94583733044152
83,289,1999,45,-25,50,-15,14.2475848811379,8.32108221716587
84,297,1999,45,-25,50,-15,14.1978339018052,8.96815509332982
85,305,1999,45,-25,50,-15,12.2545873415408,7.94871780362893
86,313,1999,45,-25,50,-15,11.4004618759868,6.95675643847851
87,321,1999,45,-25,50,-15,9.26950699334943,6.4176181607393
88,329,1999,45,-25,50,-15,9.80425191162483,8.03169069789641
89,337,1999,45,-25,50,-15,7.88830617642576,4.66991343967565
90,345,1999,45,-25,50,-15,5.99062126028111,8.61399935001405
91,353,1999,45,-25,50,-15,7.09092580919251,9.04293014907458
92,361,1999,45,-25,50,-15,6.7634927550232,4.52643813007153
93,1,2000,45,-25,50,-15,6.21333419446754,5.17655349125267
94,9,2000,45,-25,50,-15,11.671838587708,7.33344131488316
95,17,2000,45,-25,50,-15,12.4999463016013,28.878392052994
96,25,2000,45,-25,50,-15,9.00372417539358,11.5038559704708
97,33,2000,45,-25,50,-15,10.7607498382655,11.3864686834518
98,41,2000,45,-25,50,-15,13.169654784393,12.6687623568671
99,49,2000,45,-25,50,-15,10.4494034776081,18.0452356821188
100,57,2000,45,-25,50,-15,15.4222172083913,10.940155231437
101,65,2000,45,-25,50,-15,20.744086604343,15.2149520152751
102,73,2000,45,-25,50,-15,22.7316161960965,13.4092975394201
103,81,2000,45,-25,50,-15,16.2075754182294,11.1499390479484
104,89,2000,45,-25,50,-15,21.2753092458782,12.4589714032901
105,97,2000,45,-25,50,-15,22.3956525929314,12.3535278110246
106,105,2000,45,-25,50,-15,22.5781049171753,9.97246627980886
107,113,2000,45,-25,50,-15,17.3136787431357,9.25252804488907
108,121,2000,45,-25,50,-15,21.9392908748675,12.6972197512196
109,129,2000,45,-25,50,-15,20.4453278474262,13.5627676138169
110,137,2000,45,-25,50,-15,21.0156864583162,12.0363855841723
111,145,2000,45,-25,50,-15,21.6869283933276,11.1856193052468
112,153,2000,45,-25,50,-15,23.7550810192526,10.4341516506751
113,161,2000,45,-25,50,-15,27.1401988830998,9.54464984686316
114,169,2000,45,-25,50,-15,27.9081604987714,9.15660383936054
115,177,2000,45,-25,50,-15,33.5708388060829,11.8431859184934
