tavg,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P13_ConstHighN,P14_MLDOnlyNUnlim
32,0.0339922155597465,0.0057751943570826,0.0057751943570826,0.0108085331827558,0.0224136212569521,0.0224136212569521,0.00290698127896536,0.00290698127896536,0.0197969012464635,0.0197969012464635,1.56414831117381E-17,0.0348764557223712,0.00725115971302463
33,0.0521749134229196,0.0240258706072406,0.0240258706072406,0.0302421212213049,0.00644587046604294,0.00644587046604294,0.0203609852617243,0.0203609852617243,0.0160129275136353,0.0160129275136353,1.56414831117381E-17,0.0456998021917576,0.0190501253682658
34,0.0378673172123147,0.00892221422257785,0.00892221422257785,0.026707402067336,0.00478851641839807,0.00478851641839807,0.0134846099527381,0.0134846099527381,0.0215431505052832,0.0215431505052832,1.56414831117381E-17,0.0285645785422227,0.00654466572839774
35,0.0280757759348864,0.00855707594533559,0.00855707594533559,0.0224869550982137,-0.0115489823260531,-0.0115489823260531,0.00915790301398381,0.00915790301398381,0.0165971545192066,0.0165971545192066,1.56414831117381E-17,0.0251856746431642,0.00423137906378309
36,0.0252981977405801,0.00162802781031375,0.00162802781031375,0.0174646922506229,-0.0114004364207482,-0.0114004364207482,0.00249889062429778,0.00249889062429778,0.0159880691446989,0.0159880691446989,1.56414831117381E-17,0.0144079423162235,2.02656795530626E-05
37,0.016626381651692,-0.00317462471588909,-0.00317462471588909,0.0150072022531401,-0.00969183850438093,-0.00969183850438093,0.00033591624055099,0.00033591624055099,0.0135204499888626,0.0135204499888626,1.56414831117381E-17,-0.00617926014793195,-0.00345477955862109
38,0.00413785698965234,0.00283848253257308,0.00283848253257308,0.0177731049392088,-0.00976268842416354,-0.00976268842416354,0.00564419584373826,0.00564419584373826,0.00965087287694541,0.00965087287694541,1.56414831117381E-17,-0.00789665647798061,0.00800378781883803
39,-0.000832183190818869,0.00813689702371792,0.00813689702371792,0.0219057144742479,-0.00908275861685557,-0.00908275861685557,0.0124899655363458,0.0124899655363458,0.00608055105220059,0.00608055105220059,1.56414831117381E-17,-0.00802715256389611,0.0119475265703802
40,0.0170395057356593,0.0162675984976731,0.0162675984976731,0.0348543248795645,-0.000109386290123808,-0.000109386290123808,0.0227275899736005,0.0227275899736005,0.00682296626581813,0.00682296626581813,1.56414831117381E-17,0.00227360144599466,0.0205322187300881
41,0.0161440743218692,0.0463855634939342,0.0463855634939342,0.0533424701699418,0.00166001886113646,0.00166001886113646,0.0412606100216727,0.0412606100216727,0.00758884014724993,0.00758884014724993,1.56414831117381E-17,0.0315993482198895,0.0361016219133507
42,-0.0266562848709692,-0.0202864828886917,-0.0202864828886917,0.0216869355313656,-0.0054287894801233,-0.0054287894801233,0.0234188612680332,0.0234188612680332,0.00415660120402096,0.00415660120402096,1.56414831117381E-17,-0.0182720822143399,0.0196183827840676
43,-0.00337358283331975,-0.00219837387378389,-0.00219837387378389,0.0161439421981058,-6.78086900715219E-05,-6.78086900715219E-05,0.0160004730474013,0.0160004730474013,0.0046169702836886,0.0046169702836886,1.56414831117381E-17,-0.000837336668670971,0.0139447771403342
44,-0.00837777986959911,-0.00381917486335813,-0.00381917486335813,0.0113195615855215,-0.00380978336759332,-0.00380978336759332,0.0131491204635879,0.0131491204635879,0.00265029161614395,0.00265029161614395,1.56414831117381E-17,-0.00584090044236642,0.0121060362969369
45,-0.00932082433235268,-0.00291598542630871,-0.00291598542630871,0.00670652223713922,-0.00694766139833861,-0.00694766139833861,0.0107716655683543,0.0107716655683543,0.000325962698907429,0.000325962698907429,1.56414831117381E-17,-0.00765228383497717,0.0104345416042252
46,-0.0109971057732525,-0.00859353112456846,-0.00859353112456846,0.0312302960415246,-0.00834894571648568,-0.00834894571648568,0.0357805192761759,0.0357805192761759,-0.00221963581895689,-0.00221963581895689,1.56414831117381E-17,-0.0101594959331401,0.0356637647819581
