index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC
98,771,40,2000,45,-45,50,-35,2,2.18268684531651
99,779,48,2000,45,-45,50,-35,2,2.61411189295364
100,787,56,2000,45,-45,50,-35,2,2.60206605725257
101,795,64,2000,45,-45,50,-35,2,2.38339652878991
102,803,72,2000,45,-45,50,-35,2,2.54699811343827
103,811,80,2000,45,-45,50,-35,2,2.65021305192198
104,819,88,2000,45,-45,50,-35,2,3.06314564089218
105,827,96,2000,45,-45,50,-35,2,2.99221859940722
106,835,104,2000,45,-45,50,-35,2,3.05084209923774
107,843,112,2000,45,-45,50,-35,2,2.99789968455808
108,851,120,2000,45,-45,50,-35,2,2.74149315933328
109,859,128,2000,45,-45,50,-35,2,2.88895198143731
110,867,136,2000,45,-45,50,-35,2,3.26639072136201
111,875,144,2000,45,-45,50,-35,2,3.71692760569251
112,883,152,2000,45,-45,50,-35,2,3.64651074310703
113,891,160,2000,45,-45,50,-35,2,3.37716507286801
114,899,168,2000,45,-45,50,-35,2,3.33668841880925
115,907,176,2000,45,-45,50,-35,2,3.43730894654769
116,915,184,2000,45,-45,50,-35,2,3.49452000272563
117,923,192,2000,45,-45,50,-35,2,3.05984468210857
118,931,200,2000,45,-45,50,-35,2,3.00827821383914
119,939,208,2000,45,-45,50,-35,2,3.01646523166971
120,947,216,2000,45,-45,50,-35,2,2.9324664994072
121,955,224,2000,45,-45,50,-35,2,2.85247926514564
122,963,232,2000,45,-45,50,-35,2,2.51896074177497
123,971,240,2000,45,-45,50,-35,2,2.31710080558812
124,979,248,2000,45,-45,50,-35,2,2.93826067473948
125,987,256,2000,45,-45,50,-35,2,2.5598380579395
126,995,264,2000,45,-45,50,-35,2,2.2989026955082
127,1003,272,2000,45,-45,50,-35,2,2.72136095151132
128,1011,280,2000,45,-45,50,-35,2,2.48722408596559
129,1019,288,2000,45,-45,50,-35,2,2.70888672001287
130,1027,296,2000,45,-45,50,-35,2,2.46416422832032
131,1035,304,2000,45,-45,50,-35,2,2.36620253111495
132,1043,312,2000,45,-45,50,-35,2,2.31193194696394
133,1051,320,2000,45,-45,50,-35,2,2.31364263383465
134,1059,328,2000,45,-45,50,-35,2,2.44090245617248
135,1067,336,2000,45,-45,50,-35,2,2.71860110601223
136,1075,344,2000,45,-45,50,-35,2,2.22984883747884
137,1083,352,2000,45,-45,50,-35,2,1.70734914355999
138,1091,360,2000,45,-45,50,-35,2,1.25538581218214
139,1097,1,2001,45,-45,50,-35,2,2.29064217154494
140,1104,8,2001,45,-45,50,-35,2,2.29064217154494
141,1112,16,2001,45,-45,50,-35,2,2.53065215658341
142,1120,24,2001,45,-45,50,-35,2,2.20636528041581
143,1128,32,2001,45,-45,50,-35,2,2.07715094617632
144,1136,40,2001,45,-45,50,-35,2,1.98474986128749
145,1144,48,2001,45,-45,50,-35,2,2.23185223623141
146,1152,56,2001,45,-45,50,-35,2,2.3558310354491
147,1160,64,2001,45,-45,50,-35,2,2.79665112510763
148,1168,72,2001,45,-45,50,-35,2,2.31581002229645
149,1176,80,2001,45,-45,50,-35,2,2.57262080441595
150,1184,88,2001,45,-45,50,-35,2,2.70690208388466
151,1192,96,2001,45,-45,50,-35,2,2.49763782239932
152,1200,104,2001,45,-45,50,-35,2,2.5767382209531
153,1208,112,2001,45,-45,50,-35,2,2.61097016592849
154,1216,120,2001,45,-45,50,-35,2,2.84456769218629
155,1224,128,2001,45,-45,50,-35,2,3.15496566773731
156,1232,136,2001,45,-45,50,-35,2,3.18684889449544
157,1240,144,2001,45,-45,50,-35,2,3.34961678780508
158,1248,152,2001,45,-45,50,-35,2,3.57938020357569
159,1256,160,2001,45,-45,50,-35,2,3.69849481925205
160,1264,168,2001,45,-45,50,-35,2,3.66414171703713
161,1272,176,2001,45,-45,50,-35,2,3.56987536343502
162,1280,184,2001,45,-45,50,-35,2,3.37306535567683
163,1288,192,2001,45,-45,50,-35,2,3.5516820846579
164,1296,200,2001,45,-45,50,-35,2,3.22832216108499
165,1304,208,2001,45,-45,50,-35,2,3.10111477998573
166,1312,216,2001,45,-45,50,-35,2,2.95903466586889
167,1320,224,2001,45,-45,50,-35,2,2.82776000248304
168,1328,232,2001,45,-45,50,-35,2,2.85483610688046
169,1336,240,2001,45,-45,50,-35,2,2.60344930330362
170,1344,248,2001,45,-45,50,-35,2,2.565614818529
171,1352,256,2001,45,-45,50,-35,2,2.60453700732581
172,1360,264,2001,45,-45,50,-35,2,2.13467323192696
173,1368,272,2001,45,-45,50,-35,2,2.6481371805653
174,1376,280,2001,45,-45,50,-35,2,2.90748646004655
175,1384,288,2001,45,-45,50,-35,2,2.7859234097007
176,1392,296,2001,45,-45,50,-35,2,2.33171041459163
177,1400,304,2001,45,-45,50,-35,2,2.39687394065287
178,1408,312,2001,45,-45,50,-35,2,2.46474398877632
179,1416,320,2001,45,-45,50,-35,2,2.10957029009149
180,1424,328,2001,45,-45,50,-35,2,2.30475311321643
181,1432,336,2001,45,-45,50,-35,2,1.94227697678995
182,1440,344,2001,45,-45,50,-35,2,1.86916768845449
183,1448,352,2001,45,-45,50,-35,2,1.25245173774391
184,1456,360,2001,45,-45,50,-35,2,1.84348409448882
185,1462,1,2002,45,-45,50,-35,2,1.74277390490083
186,1469,8,2002,45,-45,50,-35,2,1.74277390490083
187,1477,16,2002,45,-45,50,-35,2,2.27679033630223
188,1485,24,2002,45,-45,50,-35,2,2.23943131160265
189,1493,32,2002,45,-45,50,-35,2,2.33894256537765
190,1501,40,2002,45,-45,50,-35,2,2.51789897157333
191,1509,48,2002,45,-45,50,-35,2,2.19759696807017
192,1517,56,2002,45,-45,50,-35,2,2.45631070494928
193,1525,64,2002,45,-45,50,-35,2,2.09858032440446
194,1533,72,2002,45,-45,50,-35,2,2.48225156743564
195,1541,80,2002,45,-45,50,-35,2,2.33620585679597
196,1549,88,2002,45,-45,50,-35,2,2.2153597255694
197,1557,96,2002,45,-45,50,-35,2,2.55701521193454
198,1565,104,2002,45,-45,50,-35,2,2.6084873901384
199,1573,112,2002,45,-45,50,-35,2,2.72657721517944
200,1581,120,2002,45,-45,50,-35,2,2.79637197848572
201,1589,128,2002,45,-45,50,-35,2,3.15148128459815
202,1597,136,2002,45,-45,50,-35,2,3.1057026683795
203,1605,144,2002,45,-45,50,-35,2,3.1265335676342
204,1613,152,2002,45,-45,50,-35,2,2.81290918954104
205,1621,160,2002,45,-45,50,-35,2,3.00409267611007
206,1629,168,2002,45,-45,50,-35,2,2.97988903013059
207,1637,176,2002,45,-45,50,-35,2,3.12344803421329
208,1645,184,2002,45,-45,50,-35,2,3.2594315540776
209,1653,192,2002,45,-45,50,-35,2,3.25634428418444
210,1661,200,2002,45,-45,50,-35,2,3.10044186573716
211,1669,208,2002,45,-45,50,-35,2,2.75207034824845
212,1677,216,2002,45,-45,50,-35,2,2.81622603649633
213,1685,224,2002,45,-45,50,-35,2,2.67358098618954
214,1693,232,2002,45,-45,50,-35,2,2.54078796196154
215,1701,240,2002,45,-45,50,-35,2,2.18568276434401
216,1709,248,2002,45,-45,50,-35,2,2.33474450599487
217,1717,256,2002,45,-45,50,-35,2,2.19933666241207
218,1725,264,2002,45,-45,50,-35,2,2.262261353395
219,1733,272,2002,45,-45,50,-35,2,2.33073761866431
220,1741,280,2002,45,-45,50,-35,2,2.56931097665988
