index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC
111,875,144,2000,40,-25,45,-15,7,3.2788781234395,0.364365850167756
112,883,152,2000,40,-25,45,-15,7,3.15480274702058,0.325454444802221
113,891,160,2000,40,-25,45,-15,7,3.04418682725772,0.329510893248039
114,899,168,2000,40,-25,45,-15,7,3.03133270181971,0.350107860658845
115,907,176,2000,40,-25,45,-15,7,2.98897538411296,0.284869213490419
116,915,184,2000,40,-25,45,-15,7,2.96704107445953,0.372376526357475
117,923,192,2000,40,-25,45,-15,7,3.03085141712787,0.342734580400998
118,931,200,2000,40,-25,45,-15,7,2.90917595225386,0.338609849355795
119,939,208,2000,40,-25,45,-15,7,2.75644426037097,0.33995875554889
120,947,216,2000,40,-25,45,-15,7,2.57235532905483,0.266450123462819
121,955,224,2000,40,-25,45,-15,7,2.63461990991154,0.324993330991932
122,963,232,2000,40,-25,45,-15,7,2.55530095562995,0.343500179517069
123,971,240,2000,40,-25,45,-15,7,2.73882384267067,0.375242759544138
124,979,248,2000,40,-25,45,-15,7,2.36702417239312,0.351578997644114
125,987,256,2000,40,-25,45,-15,7,2.41333389916948,0.303508285697526
126,995,264,2000,40,-25,45,-15,7,2.53489180613845,0.453040222777149
127,1003,272,2000,40,-25,45,-15,7,2.04680971812428,0.588031009737997
128,1011,280,2000,40,-25,45,-15,7,2.22190840016455,0.576438060366001
129,1019,288,2000,40,-25,45,-15,7,2.17938030052296,0.579324283857406
130,1027,296,2000,40,-25,45,-15,7,1.95186728838916,0.624194491740956
131,1035,304,2000,40,-25,45,-15,7,2.29267830124459,0.629644810752406
132,1043,312,2000,40,-25,45,-15,7,2.36132961793865,0.672691269003742
133,1051,320,2000,40,-25,45,-15,7,2.27115301939694,0.749015410197837
134,1059,328,2000,40,-25,45,-15,7,1.7265467826711,0.894349005906096
135,1067,336,2000,40,-25,45,-15,7,2.44346362488171,0.678637630600317
136,1075,344,2000,40,-25,45,-15,7,2.21341141127572,0.889136844795458
137,1083,352,2000,40,-25,45,-15,7,2.19916234818887,0.822639914048685
138,1091,360,2000,40,-25,45,-15,7,1.69096928193253,1.04292784058683
139,1097,1,2001,40,-25,45,-15,7,1.88964071473607,0.829989897323515
140,1104,8,2001,40,-25,45,-15,7,1.88964071473607,0.829989897323515
141,1112,16,2001,40,-25,45,-15,7,2.05463528057701,0.806414253541574
142,1120,24,2001,40,-25,45,-15,7,2.63847637329502,0.798140315338319
143,1128,32,2001,40,-25,45,-15,7,2.55479686102495,0.674168634994025
144,1136,40,2001,40,-25,45,-15,7,2.83873504764491,0.721763820714245
145,1144,48,2001,40,-25,45,-15,7,2.37044485975145,0.714445105640593
146,1152,56,2001,40,-25,45,-15,7,2.5891291303764,0.633130347957839
147,1160,64,2001,40,-25,45,-15,7,2.50575521266619,0.70086170502161
148,1168,72,2001,40,-25,45,-15,7,2.75412297589505,0.469999116094549
149,1176,80,2001,40,-25,45,-15,7,2.61596259359769,0.588540709165362
150,1184,88,2001,40,-25,45,-15,7,2.60097699759002,0.560226585273138
151,1192,96,2001,40,-25,45,-15,7,2.48741075541845,0.683072692728286
152,1200,104,2001,40,-25,45,-15,7,2.97401874543273,0.718309564227058
153,1208,112,2001,40,-25,45,-15,7,3.50612880970197,0.492052657422238
154,1216,120,2001,40,-25,45,-15,7,3.27859507631665,0.349793816632068
155,1224,128,2001,40,-25,45,-15,7,3.28191614745717,0.440405738504992
156,1232,136,2001,40,-25,45,-15,7,3.1135421031225,0.395710818875554
157,1240,144,2001,40,-25,45,-15,7,3.22914677189963,0.505399483559108
158,1248,152,2001,40,-25,45,-15,7,2.91082750499228,0.425138600693034
159,1256,160,2001,40,-25,45,-15,7,2.79457714179333,0.395867764701843
160,1264,168,2001,40,-25,45,-15,7,2.53573669237148,0.476434658782073
161,1272,176,2001,40,-25,45,-15,7,2.52740753402173,0.349325936850836
162,1280,184,2001,40,-25,45,-15,7,2.51790757144566,0.31284496559635
163,1288,192,2001,40,-25,45,-15,7,2.72783037331309,0.5069412223607
164,1296,200,2001,40,-25,45,-15,7,2.42706064190648,0.442181940444122
165,1304,208,2001,40,-25,45,-15,7,2.3594674736591,0.388958567727254
166,1312,216,2001,40,-25,45,-15,7,2.15741929382062,0.507807485911182
167,1320,224,2001,40,-25,45,-15,7,2.37035678670429,0.330247030478013
168,1328,232,2001,40,-25,45,-15,7,2.38493690885015,0.466159162234859
169,1336,240,2001,40,-25,45,-15,7,2.37300345468552,0.381037010011897
170,1344,248,2001,40,-25,45,-15,7,2.37200717293315,0.398826143988601
171,1352,256,2001,40,-25,45,-15,7,2.17603324759754,0.479740813117366
172,1360,264,2001,40,-25,45,-15,7,2.45898052090041,0.512998971426988
173,1368,272,2001,40,-25,45,-15,7,2.18251079426472,0.527504205232962
174,1376,280,2001,40,-25,45,-15,7,2.35600694750066,0.548622429564237
175,1384,288,2001,40,-25,45,-15,7,2.47671280312249,0.455224856799068
176,1392,296,2001,40,-25,45,-15,7,2.4076343818498,0.643254919263102
177,1400,304,2001,40,-25,45,-15,7,2.00888255250764,0.935102166343248
178,1408,312,2001,40,-25,45,-15,7,2.75945688122293,0.55756612191242
179,1416,320,2001,40,-25,45,-15,7,2.71198909899764,0.524329512450013
180,1424,328,2001,40,-25,45,-15,7,1.88083134495543,0.98822100587198
181,1432,336,2001,40,-25,45,-15,7,1.92368736429836,0.916052536153058
182,1440,344,2001,40,-25,45,-15,7,2.42000591873805,0.735532602520851
183,1448,352,2001,40,-25,45,-15,7,1.40955193557172,1.05333860712852
184,1456,360,2001,40,-25,45,-15,7,2.43459304246833,0.790949758581754
185,1462,1,2002,40,-25,45,-15,7,1.65566408371993,0.971160530341766
186,1469,8,2002,40,-25,45,-15,7,1.65566408371993,0.971160530341766
187,1477,16,2002,40,-25,45,-15,7,1.70082148649809,0.83146430086408
188,1485,24,2002,40,-25,45,-15,7,1.88353607333645,1.24292524313267
189,1493,32,2002,40,-25,45,-15,7,2.36475099710563,0.628428374559738
190,1501,40,2002,40,-25,45,-15,7,2.14942362412851,0.926798969053604
191,1509,48,2002,40,-25,45,-15,7,2.41073756936887,0.753682340481154
192,1517,56,2002,40,-25,45,-15,7,2.04960075580701,0.951183677137395
193,1525,64,2002,40,-25,45,-15,7,2.44208496483608,0.858831596325107
194,1533,72,2002,40,-25,45,-15,7,2.02135793703877,0.807464920206131
195,1541,80,2002,40,-25,45,-15,7,2.82894713795734,0.514927392654481
196,1549,88,2002,40,-25,45,-15,7,2.41984273665355,0.796681666165269
197,1557,96,2002,40,-25,45,-15,7,2.84195644805023,0.51465975465011
198,1565,104,2002,40,-25,45,-15,7,2.50330591839076,0.761464713294285
199,1573,112,2002,40,-25,45,-15,7,2.96422973656151,0.654971813599461
200,1581,120,2002,40,-25,45,-15,7,3.57343319238017,0.644878835520553
201,1589,128,2002,40,-25,45,-15,7,3.42324065721974,0.608453098452413
202,1597,136,2002,40,-25,45,-15,7,3.4925906832535,0.46755166408557
203,1605,144,2002,40,-25,45,-15,7,3.41010446968027,0.351384200087777
204,1613,152,2002,40,-25,45,-15,7,3.16478542569681,0.395377063172518
205,1621,160,2002,40,-25,45,-15,7,3.15090915969573,0.390941712511931
206,1629,168,2002,40,-25,45,-15,7,2.90430574126764,0.474960722334786
207,1637,176,2002,40,-25,45,-15,7,2.79380705242763,0.402121068384223
208,1645,184,2002,40,-25,45,-15,7,2.95779563936978,0.371483874067832
209,1653,192,2002,40,-25,45,-15,7,2.75629660837754,0.412964871149256
210,1661,200,2002,40,-25,45,-15,7,2.98128118465747,0.353951604912089
211,1669,208,2002,40,-25,45,-15,7,2.55704971178961,0.323160422457258
212,1677,216,2002,40,-25,45,-15,7,2.47047464209742,0.359155641959729
213,1685,224,2002,40,-25,45,-15,7,2.45312529583954,0.41199383548662
214,1693,232,2002,40,-25,45,-15,7,2.34692509413957,0.412971143549658
215,1701,240,2002,40,-25,45,-15,7,2.31789901327084,0.403594334748986
216,1709,248,2002,40,-25,45,-15,7,2.35450989524365,0.443610171457968
217,1717,256,2002,40,-25,45,-15,7,2.25548530503937,0.473488913985487
218,1725,264,2002,40,-25,45,-15,7,2.53469058311304,0.469171652715882
219,1733,272,2002,40,-25,45,-15,7,2.29621525944373,0.483319356003052
220,1741,280,2002,40,-25,45,-15,7,2.04082737510513,0.509679741666874
221,1749,288,2002,40,-25,45,-15,7,2.25858834361158,0.698730274041789
222,1757,296,2002,40,-25,45,-15,7,2.08995342547936,0.763400583985577
223,1765,304,2002,40,-25,45,-15,7,1.76790544015576,0.806355955942815
224,1773,312,2002,40,-25,45,-15,7,2.10358411927141,0.744426546860261
225,1781,320,2002,40,-25,45,-15,7,2.68821228131578,0.596902674324727
226,1789,328,2002,40,-25,45,-15,7,2.26900663604521,1.06599812421242
227,1797,336,2002,40,-25,45,-15,7,2.1187929598829,0.796039292305355
228,1805,344,2002,40,-25,45,-15,7,1.90467569340281,0.893644450315914
229,1813,352,2002,40,-25,45,-15,7,1.47131452560288,1.1650375568934
230,1821,360,2002,40,-25,45,-15,7,2.22271805388838,0.98203603136725
1,1,1,1998,45,-25,50,-15,8,2.36556379649006,0.940503131355263
2,8,8,1998,45,-25,50,-15,8,2.36556379649006,0.940503131355263
3,16,16,1998,45,-25,50,-15,8,1.68804872165674,1.28013521444707
4,24,24,1998,45,-25,50,-15,8,2.01028304094476,1.06237080215012
5,32,32,1998,45,-25,50,-15,8,1.19074639038234,1.40888296564854
6,40,40,1998,45,-25,50,-15,8,1.98525556935848,1.14319254118622
7,48,48,1998,45,-25,50,-15,8,1.54503858393533,0.86783945699681
8,56,56,1998,45,-25,50,-15,8,2.23713199805395,0.859669479438321
9,64,64,1998,45,-25,50,-15,8,2.10766278515471,0.911922866012249
10,72,72,1998,45,-25,50,-15,8,2.07159291566459,0.997072492290953
11,80,80,1998,45,-25,50,-15,8,2.65530759261038,0.723198152005067
12,88,88,1998,45,-25,50,-15,8,2.51150579253982,0.65432929541708
13,96,96,1998,45,-25,50,-15,8,2.7779723008742,0.676910691631069
14,104,104,1998,45,-25,50,-15,8,2.77955805215538,0.562545126189983
15,112,112,1998,45,-25,50,-15,8,2.54557181522217,0.664172893440911
16,120,120,1998,45,-25,50,-15,8,2.63441419047198,0.593809473979834
17,128,128,1998,45,-25,50,-15,8,2.75356942856776,0.571134834223129
18,136,136,1998,45,-25,50,-15,8,3.25955526653684,0.542055154085639
19,144,144,1998,45,-25,50,-15,8,4.13197621151622,0.564343999959918
20,152,152,1998,45,-25,50,-15,8,4.07868944150073,0.467745254700962
21,160,160,1998,45,-25,50,-15,8,3.9647307706058,0.458551959160673
22,168,168,1998,45,-25,50,-15,8,3.88567995725813,0.421852680489558
23,176,176,1998,45,-25,50,-15,8,3.86267018790296,0.408062189698312
24,184,184,1998,45,-25,50,-15,8,3.54044813918488,0.393752591474211
25,192,192,1998,45,-25,50,-15,8,3.44221484938749,0.364841371300498
26,200,200,1998,45,-25,50,-15,8,3.17151399760539,0.429829833166899
27,208,208,1998,45,-25,50,-15,8,3.12947207610226,0.375397707365464
28,216,216,1998,45,-25,50,-15,8,2.92967041227767,0.416145179429923
29,224,224,1998,45,-25,50,-15,8,2.85100987849624,0.407195603593369
30,232,232,1998,45,-25,50,-15,8,2.7069074563853,0.452229694135361
31,240,240,1998,45,-25,50,-15,8,2.48109507934872,0.389823589475226
32,248,248,1998,45,-25,50,-15,8,2.61241170601046,0.478358174016635
33,256,256,1998,45,-25,50,-15,8,2.77801075840779,0.444061727377433
34,264,264,1998,45,-25,50,-15,8,2.57464408268007,0.489766387474174
35,272,272,1998,45,-25,50,-15,8,2.75631946586096,0.508679568736992
36,280,280,1998,45,-25,50,-15,8,2.58044791375188,0.4914018136571
37,288,288,1998,45,-25,50,-15,8,2.58228144566674,0.40633472499144
38,296,296,1998,45,-25,50,-15,8,2.77666678851665,0.477576711852264
39,304,304,1998,45,-25,50,-15,8,2.51862862329949,0.574523194649249
40,312,312,1998,45,-25,50,-15,8,2.40321022803688,0.625284314104567
41,320,320,1998,45,-25,50,-15,8,2.24409185270346,0.75811564742962
42,328,328,1998,45,-25,50,-15,8,1.72512763509974,1.08278038224737
43,336,336,1998,45,-25,50,-15,8,1.95400606345952,0.860889735169405
44,344,344,1998,45,-25,50,-15,8,2.17456935448534,0.898751919660284
45,352,352,1998,45,-25,50,-15,8,1.70248318718788,1.03274839892449
46,360,360,1998,45,-25,50,-15,8,2.27686193481989,0.727593429572356
47,366,1,1999,45,-25,50,-15,8,2.16892343033675,0.806028725917975
48,373,8,1999,45,-25,50,-15,8,2.16892343033675,0.806028725917975
49,381,16,1999,45,-25,50,-15,8,2.24801894581467,1.01023590570982
50,389,24,1999,45,-25,50,-15,8,1.59233702271228,1.21234166277778
51,397,32,1999,45,-25,50,-15,8,1.69845091241537,1.10131404303378
52,405,40,1999,45,-25,50,-15,8,1.50870690090238,1.14342544172166
53,413,48,1999,45,-25,50,-15,8,1.82393567323945,1.01990339319292
54,421,56,1999,45,-25,50,-15,8,2.08252810686344,0.757175843326527
55,429,64,1999,45,-25,50,-15,8,2.59651186465056,0.734981429407032
56,437,72,1999,45,-25,50,-15,8,2.32740249696295,0.9015323370419
57,445,80,1999,45,-25,50,-15,8,2.24748193475565,0.549425887401134
58,453,88,1999,45,-25,50,-15,8,2.44351699339887,0.635778834321929
59,461,96,1999,45,-25,50,-15,8,2.40825782415443,0.552681085515595
60,469,104,1999,45,-25,50,-15,8,2.95358374638742,0.63913928122189
61,477,112,1999,45,-25,50,-15,8,2.73677485347557,0.564313197898897
62,485,120,1999,45,-25,50,-15,8,2.81345441232727,0.477139279205415
63,493,128,1999,45,-25,50,-15,8,2.97840879799525,0.416138413861022
64,501,136,1999,45,-25,50,-15,8,3.36162232400399,0.385932907558394
65,509,144,1999,45,-25,50,-15,8,3.85588519640868,0.486084482953443
66,517,152,1999,45,-25,50,-15,8,3.55197704523327,0.469579981830632
67,525,160,1999,45,-25,50,-15,8,3.55122566741433,0.449254238260291
68,533,168,1999,45,-25,50,-15,8,4.0118046308119,0.496031365076972
69,541,176,1999,45,-25,50,-15,8,3.85404753306238,0.473950104374399
70,549,184,1999,45,-25,50,-15,8,3.79943174397016,0.403158379833998
71,557,192,1999,45,-25,50,-15,8,3.51503462173928,0.408387047202016
72,565,200,1999,45,-25,50,-15,8,3.25593537687512,0.406976192375673
73,573,208,1999,45,-25,50,-15,8,3.07399779911485,0.348396597657719
74,581,216,1999,45,-25,50,-15,8,2.90333933313437,0.447560424949753
75,589,224,1999,45,-25,50,-15,8,2.87968243167942,0.363871369931581
76,597,232,1999,45,-25,50,-15,8,2.79643946260575,0.434581822014395
77,605,240,1999,45,-25,50,-15,8,2.82291998429933,0.39667752442661
78,613,248,1999,45,-25,50,-15,8,2.70650208299063,0.399589126833188
79,621,256,1999,45,-25,50,-15,8,2.81215260221074,0.451568104166152
80,629,264,1999,45,-25,50,-15,8,2.90527810803329,0.462340534518925
81,637,272,1999,45,-25,50,-15,8,3.01778595025102,0.37770672077845
82,645,280,1999,45,-25,50,-15,8,2.80822560623421,0.533135484270206
83,653,288,1999,45,-25,50,-15,8,2.81122021408796,0.492619064924264
84,661,296,1999,45,-25,50,-15,8,2.51330493728186,0.630433123474801
85,669,304,1999,45,-25,50,-15,8,2.52097628532108,0.57503266155467
86,677,312,1999,45,-25,50,-15,8,2.38606473945059,0.667659527745547
87,685,320,1999,45,-25,50,-15,8,2.27324340059201,0.763525630234704
88,693,328,1999,45,-25,50,-15,8,1.98255699642718,0.896294569549925
89,701,336,1999,45,-25,50,-15,8,1.94709531747037,1.06971798853729
90,709,344,1999,45,-25,50,-15,8,1.86080105346201,0.792162186381484
91,717,352,1999,45,-25,50,-15,8,1.40446128673423,1.08063655233171
92,725,360,1999,45,-25,50,-15,8,1.58411695901273,1.07974082199252
93,732,1,2000,45,-25,50,-15,8,1.60147012302324,0.867514464881643
94,739,8,2000,45,-25,50,-15,8,1.60147012302324,0.867514464881643
95,747,16,2000,45,-25,50,-15,8,2.21360014449473,0.993370972097142
96,755,24,2000,45,-25,50,-15,8,1.85942968078694,0.987268961505551
97,763,32,2000,45,-25,50,-15,8,1.98220066599766,0.862804369147919
98,771,40,2000,45,-25,50,-15,8,1.96065186859859,1.06122423913966
99,779,48,2000,45,-25,50,-15,8,2.42684938744675,0.671541182990736
100,787,56,2000,45,-25,50,-15,8,2.07508491010414,0.811896104649787
101,795,64,2000,45,-25,50,-15,8,2.62130348013139,0.681893926244457
102,803,72,2000,45,-25,50,-15,8,2.74596938057163,0.89174451129584
103,811,80,2000,45,-25,50,-15,8,3.0412387314962,0.515258491104091
104,819,88,2000,45,-25,50,-15,8,2.67743381960735,0.585427204446537
105,827,96,2000,45,-25,50,-15,8,2.93968009216812,0.53908668287975
106,835,104,2000,45,-25,50,-15,8,3.02786553963088,0.55483572806447
107,843,112,2000,45,-25,50,-15,8,3.04510719937164,0.461854874957308
108,851,120,2000,45,-25,50,-15,8,2.75615038925713,0.529494721431084
109,859,128,2000,45,-25,50,-15,8,3.009840914017,0.454661094766866
110,867,136,2000,45,-25,50,-15,8,2.92499688580994,0.431724749868141
111,875,144,2000,45,-25,50,-15,8,2.96616950305817,0.450541160460667
112,883,152,2000,45,-25,50,-15,8,2.99578415584296,0.434939455901883
113,891,160,2000,45,-25,50,-15,8,3.06119007490097,0.470898600776532
114,899,168,2000,45,-25,50,-15,8,3.24546353663237,0.377274931472138
