index,t,days,siteID,ps1,lpC,sdpC,lsdps1,mld,dmld,N0,light
43,336,336,5,11.1345791801471,9.71676377262308,6.23058786444815,0.521925070545486,96.5571074202989,0.369576968385111,16.5627625,25.1603012578207
44,344,344,5,10.6468707569041,9.00311631434536,6.7209199923314,0.579129085411669,99.5137231673798,1.25253410927953,16.5627625,27.7830943140445
45,352,352,5,10.7816465379251,9.46056382142317,5.89334739796139,0.511298957604094,109.533996041616,2.72412934612071,16.5627625,24.8554038880435
46,360,360,5,23.5152222840059,20.5901593809615,12.971875664714,0.5154312883503,131.327030810582,1.67620906379488,16.5627625,28.6644940025783
47,366,1,5,9.20516709379971,6.81091889923554,8.36929252390133,0.776193174612101,141.384285193351,0,16.5627625,15.1444056331199
48,373,8,5,9.20516709379971,6.81091889923554,8.36929252390133,0.776193174612101,141.384285193351,2.63450379576948,16.5627625,27.0907407296279
49,381,16,5,11.2482120748496,9.39290398762501,7.41068271661881,0.600424316753444,162.460315559507,-0.146012791676672,16.5627625,27.3297188727179
50,389,24,5,11.0173682218325,9.29082479401403,7.02179245779862,0.583858929843278,161.292213226093,-0.146012765131914,16.5627625,28.1813627452239
51,397,32,5,11.616502565932,10.3808583968468,5.83410348660531,0.474263957327772,160.124111105038,-0.146012767785102,16.5627625,44.2839746284076
52,405,40,5,7.65569808173821,6.13039903557397,5.72656533131102,0.666618893383593,158.956008962757,-0.291629753982061,16.5627625,52.4394407238935
53,413,48,5,9.15464921194493,7.93075119685843,5.27852494276202,0.535750130557543,156.622970930901,-0.728480619221067,16.5627625,39.4808511513594
54,421,56,5,9.59072135250705,7.84327207089064,6.7492376675556,0.634255472237432,150.795125977132,-0.728480626899351,16.5627625,47.6027327920358
55,429,64,5,13.8000024555593,11.6539413250408,8.75195187912237,0.581419532080799,144.967280961937,-0.72848061011069,16.5627625,44.5332700911523
56,437,72,5,16.0560767026908,14.2717720972009,8.2759304756947,0.485394234609712,139.139436081052,0.673863108762454,16.5627625,50.0353294595373
57,445,80,5,14.906574062879,13.1596976358803,7.93150105120898,0.499286247123576,144.530340951152,1.14131101455125,16.5627625,70.9368440733407
58,453,88,5,18.818803914119,16.6030466339249,10.0415543903525,0.500540442865727,153.660829067562,1.14131098828382,16.5627625,83.6523758343797
59,461,96,5,12.3422003735271,10.7902488402511,6.8534779266359,0.518423521339291,162.791316973832,1.14131099529152,16.5627625,97.6310631005334
60,469,104,5,23.6968784354337,18.612390579134,18.6736988747804,0.695004760817974,171.921804936164,-3.06582785820382,16.5627625,88.8657167726128
61,477,112,5,40.3783660130885,33.38986708419,27.4574810345969,0.616509000051944,147.395182070534,-3.6668477139622,16.5627625,120.893112851447
62,485,120,5,29.6031689063105,25.9979606889027,16.1215169396483,0.50963381626868,118.060400358836,-3.66684768776514,16.5627625,112.972791440532
63,493,128,5,33.2052423382633,31.1589450804465,12.2301114570761,0.356669033448768,88.725618856715,-3.38421967083177,16.5627625,137.233397416867
64,501,136,5,26.4948986474343,23.7683157088625,13.0496342828328,0.466044610698953,61.6518614900609,-1.40582328853922,16.5627625,114.782700038045
65,509,144,5,34.1144483491282,30.0294760248557,18.3892035986775,0.50505755385206,50.4052751817472,-1.40582329526752,16.5627625,102.788227822024
66,517,152,5,28.8322998407484,25.6956846554494,14.6743689758294,0.479944195487031,39.158688819607,-1.40582329139941,16.5627625,151.188473444864
67,525,160,5,32.335369001925,29.4199052301758,14.7478055847389,0.434718651037278,27.9121024884118,-1.05167626990832,16.5627625,133.853247927133
68,533,168,5,31.6111720993701,28.0756542090896,16.3559764837676,0.487047847775451,19.4986923291452,0.0107648097351172,16.5627625,152.396164444629
69,541,176,5,29.624986427443,25.4375233364158,17.6842576005618,0.552073836919153,19.5848108070261,0.0107648074192275,16.5627625,96.1263317775479
70,549,184,5,23.1653565738599,20.6476086615112,11.783564270336,0.479704913775697,19.67092926638,0.0107648101459432,16.5627625,136.025111930114
71,557,192,5,17.7528154493951,15.1721835263348,10.7856188467407,0.56050049076366,19.7570477475475,-0.0122112294379657,16.5627625,88.4510474653224
72,565,200,5,20.4589478649199,18.535036863417,9.56051174146653,0.444426618788984,19.6593579120438,-0.0351872597903835,16.5627625,121.581146837898
73,573,208,5,15.9822329451475,14.7032025250006,6.80976459773032,0.40844175940934,19.3778598337207,-0.0351872630955383,16.5627625,102.093685540443
74,581,216,5,18.3620745450921,17.0999656422111,7.18384217114898,0.377388174647943,19.0963617289564,-0.0351872635684538,16.5627625,127.102048594504
75,589,224,5,14.2701358886747,12.6125458895965,7.55266468560322,0.496944524128306,18.8148636204088,0.123420455713444,16.5627625,95.7557214175897
76,597,232,5,13.3338802060733,11.6068722285725,7.53951297593731,0.526708313717779,19.8022272661163,0.218585082538846,16.5627625,97.0331360543802
77,605,240,5,13.817246582177,11.7892408563332,8.4458868752526,0.563436314953169,21.5509079264271,0.218585085522166,16.5627625,77.5597399152099
78,613,248,5,11.4206683957898,10.3194151358099,5.41515192689392,0.450327981547522,23.2995886106044,0.218585084349746,16.5627625,74.5686127728296
79,621,256,5,15.4766582099887,14.0126669809293,7.25701541344265,0.445805477876094,25.0482692854024,0.412856849507539,16.5627625,99.293141516112
80,629,264,5,19.779550535563,18.7737240909523,6.56082038753911,0.323080068375274,28.3511240814627,0.477614100155314,16.5627625,100.366881119097
